DN_DT,Bevölkerung_2023,Increase_rate,Bevölkerung_2070,coef_a,coef_b
Main-Tauber-Kreis (Landkreis),133459,60,213534,3486516.6909512323,-26407080.43992826
Main-Tauber-Kreis (Landkreis),133459,70,226880,4067610.0628829855,-30830558.92091836
Main-Tauber-Kreis (Landkreis),133459,80,240226,4648703.434814739,-35254037.401908465
Main-Tauber-Kreis (Landkreis),133459,90,253572,5229796.806746492,-39677515.88289857
Main-Tauber-Kreis (Landkreis),133459,100,266918,5810890.178678245,-44100994.36388867
Mannheim (kreisfreie Stadt),316256,-90,31626,-12392972.160417724,94655734.4987422
Mannheim (kreisfreie Stadt),316256,-80,63251,-11015999.442948692,84173754.35777768
Mannheim (kreisfreie Stadt),316256,-70,94877,-9638983.184840374,73691442.77080086
Mannheim (kreisfreie Stadt),316256,-60,126502,-8262010.467371341,63209462.629836366
Mannheim (kreisfreie Stadt),316256,-50,158128,-6884994.209263022,52727151.04285952
Mannheim (kreisfreie Stadt),316256,-40,189754,-5507977.951154702,42244839.45588267
Mannheim (kreisfreie Stadt),316256,-30,221379,-4131005.2336856704,31762859.314918183
Mannheim (kreisfreie Stadt),316256,-20,253005,-2753988.975577351,21280547.727941334
Mannheim (kreisfreie Stadt),316256,-10,284630,-1377016.2581083192,10798567.586976847
Mannheim (kreisfreie Stadt),316256,0,316256,0.0,316256.0
Mannheim (kreisfreie Stadt),316256,10,347882,1377016.2581083192,-10166055.586976847
Mannheim (kreisfreie Stadt),316256,20,379507,2753988.975577351,-20648035.727941334
Mannheim (kreisfreie Stadt),316256,30,411133,4131005.2336856704,-31130347.314918183
Mannheim (kreisfreie Stadt),316256,40,442758,5507977.951154702,-41612327.45588267
Mannheim (kreisfreie Stadt),316256,50,474384,6884994.209263022,-52094639.04285952
Mannheim (kreisfreie Stadt),316256,60,506010,8262010.467371341,-62576950.629836366
Mannheim (kreisfreie Stadt),316256,70,537635,9638983.184840374,-73058930.77080086
Mannheim (kreisfreie Stadt),316256,80,569261,11015999.442948692,-83541242.35777768
Mannheim (kreisfreie Stadt),316256,90,600886,12392972.160417724,-94023222.4987422
Mannheim (kreisfreie Stadt),316256,100,632512,13769988.418526044,-104505534.08571903
Neckar-Odenwald-Kreis (Landkreis),145681,-90,14568,-5708743.838909633,43602562.018886216
Neckar-Odenwald-Kreis (Landkreis),145681,-80,29136,-5074443.805768484,38774056.51078912
Neckar-Odenwald-Kreis (Landkreis),145681,-70,43704,-4440143.772627334,33945551.00269202
Neckar-Odenwald-Kreis (Landkreis),145681,-60,58272,-3805843.739486185,29117045.49459493
Neckar-Odenwald-Kreis (Landkreis),145681,-50,72840,-3171543.706345035,24288539.986497834
Neckar-Odenwald-Kreis (Landkreis),145681,-40,87409,-2537200.132564598,19459703.032388378
Neckar-Odenwald-Kreis (Landkreis),145681,-30,101977,-1902900.0994234488,14631197.524291284
Neckar-Odenwald-Kreis (Landkreis),145681,-20,116545,-1268600.066282299,9802692.016194189
Neckar-Odenwald-Kreis (Landkreis),145681,-10,131113,-634300.0331411496,4974186.5080970945
Neckar-Odenwald-Kreis (Landkreis),145681,0,145681,0.0,145681.0
Neckar-Odenwald-Kreis (Landkreis),145681,10,160249,634300.0331411496,-4682824.5080970945
Neckar-Odenwald-Kreis (Landkreis),145681,20,174817,1268600.066282299,-9511330.016194189
Neckar-Odenwald-Kreis (Landkreis),145681,30,189385,1902900.0994234488,-14339835.524291284
Neckar-Odenwald-Kreis (Landkreis),145681,40,203953,2537200.132564598,-19168341.032388378
Neckar-Odenwald-Kreis (Landkreis),145681,50,218522,3171543.706345035,-23997177.986497834
Neckar-Odenwald-Kreis (Landkreis),145681,60,233090,3805843.739486185,-28825683.49459493
Neckar-Odenwald-Kreis (Landkreis),145681,70,247658,4440143.772627334,-33654189.00269202
Neckar-Odenwald-Kreis (Landkreis),145681,80,262226,5074443.805768484,-38482694.51078912
Neckar-Odenwald-Kreis (Landkreis),145681,90,276794,5708743.838909633,-43311200.018886216
Neckar-Odenwald-Kreis (Landkreis),145681,100,291362,6343043.872050784,-48139705.52698331
Ortenaukreis (Landkreis),443482,-90,44348,-17378549.521400303,132734854.69829942
Ortenaukreis (Landkreis),443482,-80,88696,-15447609.250275666,118035886.94204667
Ortenaukreis (Landkreis),443482,-70,133045,-13516625.438511742,103336587.73978157
Ortenaukreis (Landkreis),443482,-60,177393,-11585685.167387106,88637619.98352882
Ortenaukreis (Landkreis),443482,-50,221741,-9654744.896262469,73938652.22727607
Ortenaukreis (Landkreis),443482,-40,266089,-7723804.625137833,59239684.471023336
Ortenaukreis (Landkreis),443482,-30,310437,-5792864.354013196,44540716.71477059
Ortenaukreis (Landkreis),443482,-20,354786,-3861880.5422492726,29841417.512505487
Ortenaukreis (Landkreis),443482,-10,399134,-1930940.2711246363,15142449.756252743
Ortenaukreis (Landkreis),443482,0,443482,0.0,443482.0
Ortenaukreis (Landkreis),443482,10,487830,1930940.2711246363,-14255485.756252743
Ortenaukreis (Landkreis),443482,20,532178,3861880.5422492726,-28954453.512505487
Ortenaukreis (Landkreis),443482,30,576527,5792864.354013196,-43653752.71477059
Ortenaukreis (Landkreis),443482,40,620875,7723804.625137833,-58352720.471023336
Ortenaukreis (Landkreis),443482,50,665223,9654744.896262469,-73051688.22727607
Ortenaukreis (Landkreis),443482,60,709571,11585685.167387106,-87750655.98352882
Ortenaukreis (Landkreis),443482,70,753919,13516625.438511742,-102449623.73978157
Ortenaukreis (Landkreis),443482,80,798268,15447609.250275666,-117148922.94204667
Ortenaukreis (Landkreis),443482,90,842616,17378549.521400303,-131847890.69829942
Ortenaukreis (Landkreis),443482,100,886964,19309489.792524938,-146546858.45455214
Ostalbkreis (Landkreis),317263,-90,31726,-12432463.520251539,94957363.03195497
Ostalbkreis (Landkreis),317263,-80,63453,-11051049.657575177,84441575.39772952
Ostalbkreis (Landkreis),317263,-70,95179,-9669679.335538102,73926119.20951642
Ostalbkreis (Landkreis),317263,-60,126905,-8288309.013501027,63410663.021303326
Ostalbkreis (Landkreis),317263,-50,158632,-6906895.150824663,52894875.38707786
Ostalbkreis (Landkreis),317263,-40,190358,-5525524.8287875885,42379419.19886476
Ostalbkreis (Landkreis),317263,-30,222084,-4144154.5067505133,31863963.010651663
Ostalbkreis (Landkreis),317263,-20,253810,-2762784.184713438,21348506.822438564
Ostalbkreis (Landkreis),317263,-10,285537,-1381370.3220370752,10832719.188213099
Ostalbkreis (Landkreis),317263,0,317263,0.0,317263.0
Ostalbkreis (Landkreis),317263,10,348989,1381370.3220370752,-10198193.188213099
Ostalbkreis (Landkreis),317263,20,380716,2762784.184713438,-20713980.822438564
Ostalbkreis (Landkreis),317263,30,412442,4144154.5067505133,-31229437.010651663
Ostalbkreis (Landkreis),317263,40,444168,5525524.8287875885,-41744893.19886476
Ostalbkreis (Landkreis),317263,50,475894,6906895.150824663,-52260349.38707786
Ostalbkreis (Landkreis),317263,60,507621,8288309.013501027,-62776137.021303326
Ostalbkreis (Landkreis),317263,70,539347,9669679.335538102,-73291593.20951642
Ostalbkreis (Landkreis),317263,80,571073,11051049.657575177,-83807049.39772952
Ostalbkreis (Landkreis),317263,90,602800,12432463.520251539,-94322837.03195497
Ostalbkreis (Landkreis),317263,100,634526,13813833.842288615,-104838293.22016808
Pforzheim (kreisfreie Stadt),135087,-90,13509,-5293583.843302765,40431630.29100965
Pforzheim (kreisfreie Stadt),135087,-80,27017,-4705436.887806428,35954457.556016825
Pforzheim (kreisfreie Stadt),135087,-70,40526,-4117246.391670802,31476953.375011627
Pforzheim (kreisfreie Stadt),135087,-60,54035,-3529055.8955351766,26999449.19400643
Pforzheim (kreisfreie Stadt),135087,-50,67544,-2940865.3993995516,22521945.01300124
Pforzheim (kreisfreie Stadt),135087,-40,81052,-2352718.443903214,18044772.278008413
Pforzheim (kreisfreie Stadt),135087,-30,94561,-1764527.9477675883,13567268.097003216
Pforzheim (kreisfreie Stadt),135087,-20,108070,-1176337.451631963,9089763.915998023
Pforzheim (kreisfreie Stadt),135087,-10,121578,-588190.4961356253,4612591.181005193
Pforzheim (kreisfreie Stadt),135087,0,135087,0.0,135087.0
Pforzheim (kreisfreie Stadt),135087,10,148596,588190.4961356253,-4342417.181005193
Pforzheim (kreisfreie Stadt),135087,20,162104,1176337.451631963,-8819589.915998023
Pforzheim (kreisfreie Stadt),135087,30,175613,1764527.9477675883,-13297094.097003216
Pforzheim (kreisfreie Stadt),135087,40,189122,2352718.443903214,-17774598.278008413
Pforzheim (kreisfreie Stadt),135087,50,202630,2940865.3993995516,-22251771.01300124
Pforzheim (kreisfreie Stadt),135087,60,216139,3529055.8955351766,-26729275.19400643
Pforzheim (kreisfreie Stadt),135087,70,229648,4117246.391670802,-31206779.375011627
Pforzheim (kreisfreie Stadt),135087,80,243157,4705436.887806428,-35684283.556016825
Pforzheim (kreisfreie Stadt),135087,90,256665,5293583.843302765,-40161456.29100965
Pforzheim (kreisfreie Stadt),135087,100,270174,5881774.339438391,-44638960.472014844
Rastatt (Landkreis),231356,-90,23136,-9066031.912455393,69245044.69412254
Rastatt (Landkreis),231356,-80,46271,-8058719.222537731,61577041.19811579
Rastatt (Landkreis),231356,-70,69407,-7051362.991980782,53908706.256096676
Rastatt (Landkreis),231356,-60,92542,-6044050.3020631205,46240702.760089934
Rastatt (Landkreis),231356,-50,115678,-5036694.0715061715,38572367.81807083
Rastatt (Landkreis),231356,-40,138814,-4029337.840949222,30904032.876051713
Rastatt (Landkreis),231356,-30,161949,-3022025.1510315603,23236029.380044967
Rastatt (Landkreis),231356,-20,185085,-2014668.920474611,15567694.438025856
Rastatt (Landkreis),231356,-10,208220,-1007356.2305569493,7899690.94201911
Rastatt (Landkreis),231356,0,231356,0.0,231356.0
Rastatt (Landkreis),231356,10,254492,1007356.2305569493,-7436978.94201911
Rastatt (Landkreis),231356,20,277627,2014668.920474611,-15104982.438025856
Rastatt (Landkreis),231356,30,300763,3022025.1510315603,-22773317.380044967
Rastatt (Landkreis),231356,40,323898,4029337.840949222,-30441320.876051713
Rastatt (Landkreis),231356,50,347034,5036694.0715061715,-38109655.81807083
Rastatt (Landkreis),231356,60,370170,6044050.3020631205,-45777990.760089934
Rastatt (Landkreis),231356,70,393305,7051362.991980782,-53445994.256096676
Rastatt (Landkreis),231356,80,416441,8058719.222537731,-61114329.19811579
Rastatt (Landkreis),231356,90,439576,9066031.912455393,-68782332.69412254
Rastatt (Landkreis),231356,100,462712,10073388.143012343,-76450667.63614166
Ravensburg (Landkreis),289725,-90,28972,-11353352.316148695,86715267.06156245
Ravensburg (Landkreis),289725,-80,57945,-10091849.374070266,77112281.74538335
Ravensburg (Landkreis),289725,-70,86918,-8830346.43199184,67509296.42920426
Ravensburg (Landkreis),289725,-60,115890,-7568887.0305527,57906642.559037514
Ravensburg (Landkreis),289725,-50,144862,-6307427.629113561,48303988.68887077
Ravensburg (Landkreis),289725,-40,173835,-5045924.687035133,38701003.372691676
Ravensburg (Landkreis),289725,-30,202808,-3784421.744956706,29098018.056512576
Ravensburg (Landkreis),289725,-20,231780,-2522962.3435175666,19495364.186345838
Ravensburg (Landkreis),289725,-10,260752,-1261502.9420784272,9892710.3161791
Ravensburg (Landkreis),289725,0,289725,0.0,289725.0
Ravensburg (Landkreis),289725,10,318698,1261502.9420784272,-9313260.3161791
Ravensburg (Landkreis),289725,20,347670,2522962.3435175666,-18915914.186345838
Ravensburg (Landkreis),289725,30,376642,3784421.744956706,-28518568.056512576
Ravensburg (Landkreis),289725,40,405615,5045924.687035133,-38121553.372691676
Ravensburg (Landkreis),289725,50,434588,6307427.629113561,-47724538.68887077
Ravensburg (Landkreis),289725,60,463560,7568887.0305527,-57327192.559037514
Ravensburg (Landkreis),289725,70,492532,8830346.43199184,-66929846.429204255
Ravensburg (Landkreis),289725,80,521505,10091849.374070266,-76532831.74538335
Ravensburg (Landkreis),289725,90,550478,11353352.316148695,-86135817.06156245
Ravensburg (Landkreis),289725,100,579450,12614811.717587834,-95738470.9317292
Rems-Murr-Kreis (Landkreis),440103,-90,44010,-17246142.437326837,131723548.37470502
Rems-Murr-Kreis (Landkreis),440103,-80,88021,-15329875.361642107,117136277.92461844
Rems-Murr-Kreis (Landkreis),440103,-70,132031,-13413651.826596666,102549338.92054422
Rems-Murr-Kreis (Landkreis),440103,-60,176041,-11497428.291551225,87962399.91647
Rems-Murr-Kreis (Landkreis),440103,-50,220052,-9581161.215866495,73375129.46638343
Rems-Murr-Kreis (Landkreis),440103,-40,264062,-7664937.680821054,58788190.46230922
Rems-Murr-Kreis (Landkreis),440103,-30,308072,-5748714.145775612,44201251.458235
Rems-Murr-Kreis (Landkreis),440103,-20,352082,-3832490.6107301707,29614312.45416079
Rems-Murr-Kreis (Landkreis),440103,-10,396093,-1916223.5350454415,15027042.004074212
Rems-Murr-Kreis (Landkreis),440103,0,440103,0.0,440103.0
Rems-Murr-Kreis (Landkreis),440103,10,484113,1916223.5350454415,-14146836.004074212
Rems-Murr-Kreis (Landkreis),440103,20,528124,3832490.6107301707,-28734106.45416079
Rems-Murr-Kreis (Landkreis),440103,30,572134,5748714.145775612,-43321045.458235
Rems-Murr-Kreis (Landkreis),440103,40,616144,7664937.680821054,-57907984.46230922
Rems-Murr-Kreis (Landkreis),440103,50,660154,9581161.215866495,-72494923.46638343
Rems-Murr-Kreis (Landkreis),440103,60,704165,11497428.291551225,-87082193.91647
Rems-Murr-Kreis (Landkreis),440103,70,748175,13413651.826596666,-101669132.92054422
Rems-Murr-Kreis (Landkreis),440103,80,792185,15329875.361642107,-116256071.92461844
Rems-Murr-Kreis (Landkreis),440103,90,836196,17246142.437326837,-130843342.37470502
Rems-Murr-Kreis (Landkreis),440103,100,880206,19162365.97237228,-145430281.37877923
Reutlingen (Landkreis),293385,-90,29338,-11496775.18196191,87810710.22628456
Reutlingen (Landkreis),293385,-80,58677,-10219336.365904238,78086415.66958079
Reutlingen (Landkreis),293385,-70,88016,-8941897.549846563,68362121.11287701
Reutlingen (Landkreis),293385,-60,117354,-7664502.274428179,58638158.0021856
Reutlingen (Landkreis),293385,-50,146692,-6387106.999009793,48914194.89149418
Reutlingen (Landkreis),293385,-40,176031,-5109668.182952119,39189900.33479039
Reutlingen (Landkreis),293385,-30,205370,-3832229.3668944454,29465605.778086614
Reutlingen (Landkreis),293385,-20,234708,-2554834.0914760595,19741642.667395197
Reutlingen (Landkreis),293385,-10,264046,-1277438.8160576734,10017679.55670378
Reutlingen (Landkreis),293385,0,293385,0.0,293385.0
Reutlingen (Landkreis),293385,10,322724,1277438.8160576734,-9430909.55670378
Reutlingen (Landkreis),293385,20,352062,2554834.0914760595,-19154872.667395197
Reutlingen (Landkreis),293385,30,381400,3832229.3668944454,-28878835.778086614
Reutlingen (Landkreis),293385,40,410739,5109668.182952119,-38603130.33479039
Reutlingen (Landkreis),293385,50,440078,6387106.999009793,-48327424.89149418
Reutlingen (Landkreis),293385,60,469416,7664502.274428179,-58051388.0021856
Reutlingen (Landkreis),293385,70,498754,8941897.549846563,-67775351.11287701
Reutlingen (Landkreis),293385,80,528093,10219336.365904238,-77499645.66958079
Reutlingen (Landkreis),293385,90,557432,11496775.18196191,-87223940.22628456
Reutlingen (Landkreis),293385,100,586770,12774170.457380297,-96947903.33697598
Rhein-Neckar-Kreis (Landkreis),557819,-90,55782,-21859011.926007915,166955980.70843914
Rhein-Neckar-Kreis (Landkreis),557819,-80,111564,-19430227.985269338,148467259.2468334
Rhein-Neckar-Kreis (Landkreis),557819,-70,167346,-17001444.04453076,129978537.7852277
Rhein-Neckar-Kreis (Landkreis),557819,-60,223128,-14572660.103792181,111489816.32362197
Rhein-Neckar-Kreis (Landkreis),557819,-50,278910,-12143876.163053602,93001094.86201623
Rhein-Neckar-Kreis (Landkreis),557819,-40,334691,-9715135.762954311,74512704.84642288
Rhein-Neckar-Kreis (Landkreis),557819,-30,390473,-7286351.822215734,56023983.38481716
Rhein-Neckar-Kreis (Landkreis),557819,-20,446255,-4857567.881477156,37535261.92321144
Rhein-Neckar-Kreis (Landkreis),557819,-10,502037,-2428783.940738578,19046540.46160572
Rhein-Neckar-Kreis (Landkreis),557819,0,557819,0.0,557819.0
Rhein-Neckar-Kreis (Landkreis),557819,10,613601,2428783.940738578,-17930902.46160572
Rhein-Neckar-Kreis (Landkreis),557819,20,669383,4857567.881477156,-36419623.92321144
Rhein-Neckar-Kreis (Landkreis),557819,30,725165,7286351.822215734,-54908345.38481716
Rhein-Neckar-Kreis (Landkreis),557819,40,780947,9715135.762954311,-73397066.84642288
Rhein-Neckar-Kreis (Landkreis),557819,50,836728,12143876.163053602,-91885456.86201623
Rhein-Neckar-Kreis (Landkreis),557819,60,892510,14572660.103792181,-110374178.32362197
Rhein-Neckar-Kreis (Landkreis),557819,70,948292,17001444.04453076,-128862899.7852277
Rhein-Neckar-Kreis (Landkreis),557819,80,1004074,19430227.985269338,-147351621.2468334
Rhein-Neckar-Kreis (Landkreis),557819,90,1059856,21859011.926007915,-165840342.70843914
Rhein-Neckar-Kreis (Landkreis),557819,100,1115638,24287795.866746493,-184329064.17004484
Rottweil (Landkreis),140344,-90,14034,-5499618.148411491,42005289.82150906
Rottweil (Landkreis),140344,-80,28069,-4888525.27601061,37353445.03800119
Rottweil (Landkreis),140344,-70,42103,-4277475.944249017,32701931.70050568
Rottweil (Landkreis),140344,-60,56138,-3666383.071848136,28050086.9169978
Rottweil (Landkreis),140344,-50,70172,-3055333.7400865424,23398573.57950229
Rottweil (Landkreis),140344,-40,84206,-2444284.408324949,18747060.24200678
Rottweil (Landkreis),140344,-30,98241,-1833191.535924068,14095215.4584989
Rottweil (Landkreis),140344,-20,112275,-1222142.2041624745,9443702.12100339
Rottweil (Landkreis),140344,-10,126310,-611049.3317615935,4791857.337495513
Rottweil (Landkreis),140344,0,140344,0.0,140344.0
Rottweil (Landkreis),140344,10,154378,611049.3317615935,-4511169.337495513
Rottweil (Landkreis),140344,20,168413,1222142.2041624745,-9163014.12100339
Rottweil (Landkreis),140344,30,182447,1833191.535924068,-13814527.4584989
Rottweil (Landkreis),140344,40,196482,2444284.408324949,-18466372.24200678
Rottweil (Landkreis),140344,50,210516,3055333.7400865424,-23117885.57950229
Rottweil (Landkreis),140344,60,224550,3666383.071848136,-27769398.9169978
Rottweil (Landkreis),140344,70,238585,4277475.944249017,-32421243.70050568
Rottweil (Landkreis),140344,80,252619,4888525.27601061,-37072757.03800119
Rottweil (Landkreis),140344,90,266654,5499618.148411491,-41724601.82150906
Rottweil (Landkreis),140344,100,280688,6110667.480173085,-46376115.15900458
Schwarzwald-Baar-Kreis (Landkreis),213922,-90,21392,-8382879.282033603,64027222.7601547
Schwarzwald-Baar-Kreis (Landkreis),213922,-80,42784,-7451457.926394155,56936929.66369581
Schwarzwald-Baar-Kreis (Landkreis),213922,-70,64177,-6519993.03011542,49846305.12122456
Schwarzwald-Baar-Kreis (Landkreis),213922,-60,85569,-5588571.674475973,42756012.02476568
Schwarzwald-Baar-Kreis (Landkreis),213922,-50,106961,-4657150.318836525,35665718.928306796
Schwarzwald-Baar-Kreis (Landkreis),213922,-40,128353,-3725728.9631970776,28575425.831847906
Schwarzwald-Baar-Kreis (Landkreis),213922,-30,149745,-2794307.60755763,21485132.73538902
Schwarzwald-Baar-Kreis (Landkreis),213922,-20,171138,-1862842.7112788951,14394508.192917774
Schwarzwald-Baar-Kreis (Landkreis),213922,-10,192530,-931421.3556394476,7304215.096458887
Schwarzwald-Baar-Kreis (Landkreis),213922,0,213922,0.0,213922.0
Schwarzwald-Baar-Kreis (Landkreis),213922,10,235314,931421.3556394476,-6876371.096458887
Schwarzwald-Baar-Kreis (Landkreis),213922,20,256706,1862842.7112788951,-13966664.192917774
Schwarzwald-Baar-Kreis (Landkreis),213922,30,278099,2794307.60755763,-21057288.73538902
Schwarzwald-Baar-Kreis (Landkreis),213922,40,299491,3725728.9631970776,-28147581.831847906
Schwarzwald-Baar-Kreis (Landkreis),213922,50,320883,4657150.318836525,-35237874.928306796
Schwarzwald-Baar-Kreis (Landkreis),213922,60,342275,5588571.674475973,-42328168.02476568
Schwarzwald-Baar-Kreis (Landkreis),213922,70,363667,6519993.03011542,-49418461.12122456
Schwarzwald-Baar-Kreis (Landkreis),213922,80,385060,7451457.926394155,-56509085.66369581
Schwarzwald-Baar-Kreis (Landkreis),213922,90,406452,8382879.282033603,-63599378.7601547
Schwarzwald-Baar-Kreis (Landkreis),213922,100,427844,9314300.63767305,-70689671.85661359
Schwäbisch Hall (Landkreis),200597,-90,20060,-7860696.395057916,60038865.73389108
Schwäbisch Hall (Landkreis),200597,-80,40119,-6987314.711588784,53390390.171911426
Schwäbisch Hall (Landkreis),200597,-70,60179,-6113889.487480364,46741583.163919404
Schwäbisch Hall (Landkreis),200597,-60,80239,-5240464.263371944,40092776.15592739
Schwäbisch Hall (Landkreis),200597,-50,100298,-4367082.579902812,33444300.59394773
Schwäbisch Hall (Landkreis),200597,-40,120358,-3493657.355794392,26795493.585955713
Schwäbisch Hall (Landkreis),200597,-30,140418,-2620232.131685972,20146686.577963695
Schwäbisch Hall (Landkreis),200597,-20,160478,-1746806.9075775521,13497879.569971673
Schwäbisch Hall (Landkreis),200597,-10,180537,-873425.2241084198,6849404.007992018
Schwäbisch Hall (Landkreis),200597,0,200597,0.0,200597.0
Schwäbisch Hall (Landkreis),200597,10,220657,873425.2241084198,-6448210.007992018
Schwäbisch Hall (Landkreis),200597,20,240716,1746806.9075775521,-13096685.569971673
Schwäbisch Hall (Landkreis),200597,30,260776,2620232.131685972,-19745492.577963695
Schwäbisch Hall (Landkreis),200597,40,280836,3493657.355794392,-26394299.585955713
Schwäbisch Hall (Landkreis),200597,50,300896,4367082.579902812,-33043106.59394773
Schwäbisch Hall (Landkreis),200597,60,320955,5240464.263371944,-39691582.15592739
Schwäbisch Hall (Landkreis),200597,70,341015,6113889.487480364,-46340389.163919404
Schwäbisch Hall (Landkreis),200597,80,361075,6987314.711588784,-52989196.171911426
Schwäbisch Hall (Landkreis),200597,90,381134,7860696.395057916,-59637671.73389108
Schwäbisch Hall (Landkreis),200597,100,401194,8734121.619166335,-66286478.74188309
Sigmaringen (Landkreis),132758,-90,13276,-5202322.6633560425,39734590.44909782
Sigmaringen (Landkreis),132758,-80,26552,-4624277.136174419,35334313.1889731
Sigmaringen (Landkreis),132758,-70,39827,-4046275.149632082,30934367.37486073
Sigmaringen (Landkreis),132758,-60,53103,-3468229.622450458,26534090.114736002
Sigmaringen (Landkreis),132758,-50,66379,-2890184.0952688335,22133812.854611274
Sigmaringen (Landkreis),132758,-40,79655,-2312138.5680872095,17733535.59448655
Sigmaringen (Landkreis),132758,-30,92931,-1734093.040905585,13333258.33436182
Sigmaringen (Landkreis),132758,-20,106206,-1156091.0543632484,8933312.520249454
Sigmaringen (Landkreis),132758,-10,119482,-578045.5271816242,4533035.260124727
Sigmaringen (Landkreis),132758,0,132758,0.0,132758.0
Sigmaringen (Landkreis),132758,10,146034,578045.5271816242,-4267519.260124727
Sigmaringen (Landkreis),132758,20,159310,1156091.0543632484,-8667796.520249454
Sigmaringen (Landkreis),132758,30,172585,1734093.040905585,-13067742.33436182
Sigmaringen (Landkreis),132758,40,185861,2312138.5680872095,-17468019.59448655
Sigmaringen (Landkreis),132758,50,199137,2890184.0952688335,-21868296.854611274
Sigmaringen (Landkreis),132758,60,212413,3468229.622450458,-26268574.114736002
Sigmaringen (Landkreis),132758,70,225689,4046275.149632082,-30668851.37486073
Sigmaringen (Landkreis),132758,80,238964,4624277.136174419,-35068797.1889731
Sigmaringen (Landkreis),132758,90,252240,5202322.6633560425,-39469074.44909782
Sigmaringen (Landkreis),132758,100,265516,5780368.190537667,-43869351.70922255
Stuttgart (kreisfreie Stadt),613111,-90,61311,-24025724.75887468,183505020.6216349
Stuttgart (kreisfreie Stadt),613111,-80,122622,-21356204.623515192,163183734.15767682
Stuttgart (kreisfreie Stadt),613111,-70,183933,-18686684.488155704,142862447.69371876
Stuttgart (kreisfreie Stadt),613111,-60,245244,-16017164.352796216,122541161.2297607
Stuttgart (kreisfreie Stadt),613111,-50,306556,-13347600.67679744,102219543.31979029
Stuttgart (kreisfreie Stadt),613111,-40,367867,-10678080.541437952,81898256.85583223
Stuttgart (kreisfreie Stadt),613111,-30,429178,-8008560.406078464,61576970.39187417
Stuttgart (kreisfreie Stadt),613111,-20,490489,-5339040.270718976,41255683.92791612
Stuttgart (kreisfreie Stadt),613111,-10,551800,-2669520.135359488,20934397.46395806
Stuttgart (kreisfreie Stadt),613111,0,613111,0.0,613111.0
Stuttgart (kreisfreie Stadt),613111,10,674422,2669520.135359488,-19708175.46395806
Stuttgart (kreisfreie Stadt),613111,20,735733,5339040.270718976,-40029461.92791612
Stuttgart (kreisfreie Stadt),613111,30,797044,8008560.406078464,-60350748.39187417
Stuttgart (kreisfreie Stadt),613111,40,858355,10678080.541437952,-80672034.85583223
Stuttgart (kreisfreie Stadt),613111,50,919666,13347600.67679744,-100993321.31979029
Stuttgart (kreisfreie Stadt),613111,60,980978,16017164.352796216,-121314939.2297607
Stuttgart (kreisfreie Stadt),613111,70,1042289,18686684.488155704,-141636225.69371876
Stuttgart (kreisfreie Stadt),613111,80,1103600,21356204.623515192,-161957512.15767682
Stuttgart (kreisfreie Stadt),613111,90,1164911,24025724.75887468,-182278798.6216349
Stuttgart (kreisfreie Stadt),613111,100,1226222,26695244.89423417,-202600085.08559296
Tuttlingen (Landkreis),144955,-90,14496,-5680268.26081557,43385070.32680113
Tuttlingen (Landkreis),144955,-80,28991,-5049146.694342413,38580760.3776065
Tuttlingen (Landkreis),144955,-70,43486,-4418025.127869255,33776450.42841187
Tuttlingen (Landkreis),144955,-60,57982,-3786860.0207568095,28971809.033204876
Tuttlingen (Landkreis),144955,-50,72478,-3155694.913644364,24167167.63799788
Tuttlingen (Landkreis),144955,-40,86973,-2524573.3471712065,19362857.68880325
Tuttlingen (Landkreis),144955,-30,101468,-1893451.7806980486,14558547.73960862
Tuttlingen (Landkreis),144955,-20,115964,-1262286.6735856032,9753906.344401626
Tuttlingen (Landkreis),144955,-10,130460,-631121.5664731578,4949264.949194632
Tuttlingen (Landkreis),144955,0,144955,0.0,144955.0
Tuttlingen (Landkreis),144955,10,159450,631121.5664731578,-4659354.949194632
Tuttlingen (Landkreis),144955,20,173946,1262286.6735856032,-9463996.344401626
Tuttlingen (Landkreis),144955,30,188442,1893451.7806980486,-14268637.73960862
Tuttlingen (Landkreis),144955,40,202937,2524573.3471712065,-19072947.68880325
Tuttlingen (Landkreis),144955,50,217432,3155694.913644364,-23877257.63799788
Tuttlingen (Landkreis),144955,60,231928,3786860.0207568095,-28681899.033204876
Tuttlingen (Landkreis),144955,70,246424,4418025.127869255,-33486540.42841187
Tuttlingen (Landkreis),144955,80,260919,5049146.694342413,-38290850.3776065
Tuttlingen (Landkreis),144955,90,275414,5680268.26081557,-43095160.32680113
Tuttlingen (Landkreis),144955,100,289910,6311433.367928016,-47899801.722008124
Tübingen (Landkreis),232897,-90,23290,-9126422.779147236,69706301.31326933
Tübingen (Landkreis),232897,-80,46579,-8112404.830779291,61987255.131358765
Tübingen (Landkreis),232897,-70,69869,-7098343.341772057,54267877.50343583
Tübingen (Landkreis),232897,-60,93159,-6084281.852764824,46548499.8755129
Tübingen (Landkreis),232897,-50,116448,-5070263.904396879,38829453.69360232
Tübingen (Landkreis),232897,-40,139738,-4056202.4153896454,31110076.065679383
Tübingen (Landkreis),232897,-30,163028,-3042140.926382412,23390698.43775645
Tübingen (Landkreis),232897,-20,186318,-2028079.4373751788,15671320.80983351
Tübingen (Landkreis),232897,-10,209607,-1014061.4890072332,7952274.627922936
Tübingen (Landkreis),232897,0,232897,0.0,232897.0
