DName,DType,DN_DT,Jahr,Stromverbrauch(Haushalt)
Baden-Baden,kreisfreie Stadt,Baden-Baden (kreisfreie Stadt),2021,317
Baden-Baden,kreisfreie Stadt,Baden-Baden (kreisfreie Stadt),2022,307
Baden-Baden,kreisfreie Stadt,Baden-Baden (kreisfreie Stadt),2023,280
Biberach,Landkreis,Biberach (Landkreis),1991,971
Biberach,Landkreis,Biberach (Landkreis),1992,998
Biberach,Landkreis,Biberach (Landkreis),1993,1026
Biberach,Landkreis,Biberach (Landkreis),1994,1019
Biberach,Landkreis,Biberach (Landkreis),1995,1068
Biberach,Landkreis,Biberach (Landkreis),1996,1135
Biberach,Landkreis,Biberach (Landkreis),1997,1106
Biberach,Landkreis,Biberach (Landkreis),1998,1123
Biberach,Landkreis,Biberach (Landkreis),1999,1137
Biberach,Landkreis,Biberach (Landkreis),2000,1131
Biberach,Landkreis,Biberach (Landkreis),2001,1153
Biberach,Landkreis,Biberach (Landkreis),2002,1196
Biberach,Landkreis,Biberach (Landkreis),2003,1235
Biberach,Landkreis,Biberach (Landkreis),2004,1266
Biberach,Landkreis,Biberach (Landkreis),2005,1348
Biberach,Landkreis,Biberach (Landkreis),2006,1337
Biberach,Landkreis,Biberach (Landkreis),2007,1310
Biberach,Landkreis,Biberach (Landkreis),2008,1306
Biberach,Landkreis,Biberach (Landkreis),2009,1297
Biberach,Landkreis,Biberach (Landkreis),2010,1323
Biberach,Landkreis,Biberach (Landkreis),2011,1123
Biberach,Landkreis,Biberach (Landkreis),2012,1104
Biberach,Landkreis,Biberach (Landkreis),2013,1089
Biberach,Landkreis,Biberach (Landkreis),2014,1055
Biberach,Landkreis,Biberach (Landkreis),2015,1079
Biberach,Landkreis,Biberach (Landkreis),2016,1065
Biberach,Landkreis,Biberach (Landkreis),2017,1061
Biberach,Landkreis,Biberach (Landkreis),2018,1031
Biberach,Landkreis,Biberach (Landkreis),2019,1107
Biberach,Landkreis,Biberach (Landkreis),2020,1098
Biberach,Landkreis,Biberach (Landkreis),2021,1158
Biberach,Landkreis,Biberach (Landkreis),2022,1124
Biberach,Landkreis,Biberach (Landkreis),2023,1026
Bodenseekreis,Landkreis,Bodenseekreis (Landkreis),1991,1095
Bodenseekreis,Landkreis,Bodenseekreis (Landkreis),1992,1116
Bodenseekreis,Landkreis,Bodenseekreis (Landkreis),1993,1143
Bodenseekreis,Landkreis,Bodenseekreis (Landkreis),1994,1125
Bodenseekreis,Landkreis,Bodenseekreis (Landkreis),1995,1173
Bodenseekreis,Landkreis,Bodenseekreis (Landkreis),1996,1243
Bodenseekreis,Landkreis,Bodenseekreis (Landkreis),1997,1208
Bodenseekreis,Landkreis,Bodenseekreis (Landkreis),1998,1223
Bodenseekreis,Landkreis,Bodenseekreis (Landkreis),1999,1242
Bodenseekreis,Landkreis,Bodenseekreis (Landkreis),2000,1231
Bodenseekreis,Landkreis,Bodenseekreis (Landkreis),2001,1256
Bodenseekreis,Landkreis,Bodenseekreis (Landkreis),2002,1302
Bodenseekreis,Landkreis,Bodenseekreis (Landkreis),2003,1343
Bodenseekreis,Landkreis,Bodenseekreis (Landkreis),2004,1378
Bodenseekreis,Landkreis,Bodenseekreis (Landkreis),2005,1469
Bodenseekreis,Landkreis,Bodenseekreis (Landkreis),2006,1457
Bodenseekreis,Landkreis,Bodenseekreis (Landkreis),2007,1433
Bodenseekreis,Landkreis,Bodenseekreis (Landkreis),2008,1434
Bodenseekreis,Landkreis,Bodenseekreis (Landkreis),2009,1423
Bodenseekreis,Landkreis,Bodenseekreis (Landkreis),2010,1456
Bodenseekreis,Landkreis,Bodenseekreis (Landkreis),2011,1225
Bodenseekreis,Landkreis,Bodenseekreis (Landkreis),2012,1210
Bodenseekreis,Landkreis,Bodenseekreis (Landkreis),2013,1197
