DName,DType,DN_DT,Jahr,Stromverbrauch(Industrie)
Ulm,kreisfreie Stadt,Ulm (kreisfreie Stadt),2020,1011
Alb-Donau-Kreis,Landkreis,Alb-Donau-Kreis (Landkreis),2020,3461
Biberach,Landkreis,Biberach (Landkreis),2020,2168
Bodenseekreis,Landkreis,Bodenseekreis (Landkreis),2020,1650
Ravensburg,Landkreis,Ravensburg (Landkreis),2020,2241
Sigmaringen,Landkreis,Sigmaringen (Landkreis),2020,940
Stuttgart,kreisfreie Stadt,Stuttgart (kreisfreie Stadt),2019,4000
Böblingen,Landkreis,Böblingen (Landkreis),2019,3145
Esslingen,Landkreis,Esslingen (Landkreis),2019,3710
Göppingen,Landkreis,Göppingen (Landkreis),2019,1514
Ludwigsburg,Landkreis,Ludwigsburg (Landkreis),2019,2786
Rems-Murr-Kreis,Landkreis,Rems-Murr-Kreis (Landkreis),2019,1990
Heilbronn,kreisfreie Stadt,Heilbronn (kreisfreie Stadt),2019,929
Heilbronn,Landkreis,Heilbronn (Landkreis),2019,3891
Hohenlohekreis,Landkreis,Hohenlohekreis (Landkreis),2019,1249
Schwäbisch Hall,Landkreis,Schwäbisch Hall (Landkreis),2019,1860
Main-Tauber-Kreis,Landkreis,Main-Tauber-Kreis (Landkreis),2019,1090
Heidenheim,Landkreis,Heidenheim (Landkreis),2019,1478
Ostalbkreis,Landkreis,Ostalbkreis (Landkreis),2019,4193
Baden-Baden,kreisfreie Stadt,Baden-Baden (kreisfreie Stadt),2019,124
Karlsruhe,kreisfreie Stadt,Karlsruhe (kreisfreie Stadt),2019,4669
Karlsruhe,Landkreis,Karlsruhe (Landkreis),2019,2569
Rastatt,Landkreis,Rastatt (Landkreis),2019,3875
Heidelberg,kreisfreie Stadt,Heidelberg (kreisfreie Stadt),2019,384
Mannheim,kreisfreie Stadt,Mannheim (kreisfreie Stadt),2019,4910
Neckar-Odenwald-Kreis,Landkreis,Neckar-Odenwald-Kreis (Landkreis),2019,880
Rhein-Neckar-Kreis,Landkreis,Rhein-Neckar-Kreis (Landkreis),2019,2886
Pforzheim,kreisfreie Stadt,Pforzheim (kreisfreie Stadt),2019,737
Calw,Landkreis,Calw (Landkreis),2019,652
Enzkreis,Landkreis,Enzkreis (Landkreis),2019,1674
Freudenstadt,Landkreis,Freudenstadt (Landkreis),2019,1390
Freiburg im Breisgau,kreisfreie Stadt,Freiburg im Breisgau (kreisfreie Stadt),2019,965
Breisgau-Hochschwarzwald,Landkreis,Breisgau-Hochschwarzwald (Landkreis),2019,1637
Emmendingen,Landkreis,Emmendingen (Landkreis),2019,821
Ortenaukreis,Landkreis,Ortenaukreis (Landkreis),2019,8509
Rottweil,Landkreis,Rottweil (Landkreis),2019,1732
Schwarzwald-Baar-Kreis,Landkreis,Schwarzwald-Baar-Kreis (Landkreis),2019,1777
Tuttlingen,Landkreis,Tuttlingen (Landkreis),2019,2252
Konstanz,Landkreis,Konstanz (Landkreis),2019,2067
Lörrach,Landkreis,Lörrach (Landkreis),2019,2153
Waldshut,Landkreis,Waldshut (Landkreis),2019,1332
Reutlingen,Landkreis,Reutlingen (Landkreis),2019,2233
Tübingen,Landkreis,Tübingen (Landkreis),2019,719
Zollernalbkreis,Landkreis,Zollernalbkreis (Landkreis),2019,1527
Ulm,kreisfreie Stadt,Ulm (kreisfreie Stadt),2019,1165
Alb-Donau-Kreis,Landkreis,Alb-Donau-Kreis (Landkreis),2019,3533
Biberach,Landkreis,Biberach (Landkreis),2019,2336
Bodenseekreis,Landkreis,Bodenseekreis (Landkreis),2019,1788
Ravensburg,Landkreis,Ravensburg (Landkreis),2019,2268
Sigmaringen,Landkreis,Sigmaringen (Landkreis),2019,1046
Stuttgart,kreisfreie Stadt,Stuttgart (kreisfreie Stadt),2018,4116
Böblingen,Landkreis,Böblingen (Landkreis),2018,3177
Esslingen,Landkreis,Esslingen (Landkreis),2018,3734
Göppingen,Landkreis,Göppingen (Landkreis),2018,1778
Ludwigsburg,Landkreis,Ludwigsburg (Landkreis),2018,2881
Rems-Murr-Kreis,Landkreis,Rems-Murr-Kreis (Landkreis),2018,2075
Heilbronn,kreisfreie Stadt,Heilbronn (kreisfreie Stadt),2018,940
Heilbronn,Landkreis,Heilbronn (Landkreis),2018,4060
Hohenlohekreis,Landkreis,Hohenlohekreis (Landkreis),2018,1235
Schwäbisch Hall,Landkreis,Schwäbisch Hall (Landkreis),2018,1912
Main-Tauber-Kreis,Landkreis,Main-Tauber-Kreis (Landkreis),2018,1097
Heidenheim,Landkreis,Heidenheim (Landkreis),2018,1455
Ostalbkreis,Landkreis,Ostalbkreis (Landkreis),2018,4552
Baden-Baden,kreisfreie Stadt,Baden-Baden (kreisfreie Stadt),2018,126
Karlsruhe,kreisfreie Stadt,Karlsruhe (kreisfreie Stadt),2018,4815
Karlsruhe,Landkreis,Karlsruhe (Landkreis),2018,2591
Rastatt,Landkreis,Rastatt (Landkreis),2018,4231
Heidelberg,kreisfreie Stadt,Heidelberg (kreisfreie Stadt),2018,418
Mannheim,kreisfreie Stadt,Mannheim (kreisfreie Stadt),2018,5137
Neckar-Odenwald-Kreis,Landkreis,Neckar-Odenwald-Kreis (Landkreis),2018,907
Rhein-Neckar-Kreis,Landkreis,Rhein-Neckar-Kreis (Landkreis),2018,3050
Pforzheim,kreisfreie Stadt,Pforzheim (kreisfreie Stadt),2018,765
Calw,Landkreis,Calw (Landkreis),2018,668
Enzkreis,Landkreis,Enzkreis (Landkreis),2018,1789
Freudenstadt,Landkreis,Freudenstadt (Landkreis),2018,1424
Freiburg im Breisgau,kreisfreie Stadt,Freiburg im Breisgau (kreisfreie Stadt),2018,965
Breisgau-Hochschwarzwald,Landkreis,Breisgau-Hochschwarzwald (Landkreis),2018,1717
Emmendingen,Landkreis,Emmendingen (Landkreis),2018,858
Ortenaukreis,Landkreis,Ortenaukreis (Landkreis),2018,8852
Rottweil,Landkreis,Rottweil (Landkreis),2018,1842
Schwarzwald-Baar-Kreis,Landkreis,Schwarzwald-Baar-Kreis (Landkreis),2018,1874
Tuttlingen,Landkreis,Tuttlingen (Landkreis),2018,2236
Konstanz,Landkreis,Konstanz (Landkreis),2018,2168
Lörrach,Landkreis,Lörrach (Landkreis),2018,2322
Waldshut,Landkreis,Waldshut (Landkreis),2018,1475
Reutlingen,Landkreis,Reutlingen (Landkreis),2018,2316
Tübingen,Landkreis,Tübingen (Landkreis),2018,756
Zollernalbkreis,Landkreis,Zollernalbkreis (Landkreis),2018,1546
Ulm,kreisfreie Stadt,Ulm (kreisfreie Stadt),2018,1192
Alb-Donau-Kreis,Landkreis,Alb-Donau-Kreis (Landkreis),2018,3579
Biberach,Landkreis,Biberach (Landkreis),2018,2403
Bodenseekreis,Landkreis,Bodenseekreis (Landkreis),2018,1768
Ravensburg,Landkreis,Ravensburg (Landkreis),2018,2296
Sigmaringen,Landkreis,Sigmaringen (Landkreis),2018,1100
Stuttgart,kreisfreie Stadt,Stuttgart (kreisfreie Stadt),2017,4030
Böblingen,Landkreis,Böblingen (Landkreis),2017,3122
Esslingen,Landkreis,Esslingen (Landkreis),2017,4140
Göppingen,Landkreis,Göppingen (Landkreis),2017,1649
Ludwigsburg,Landkreis,Ludwigsburg (Landkreis),2017,2853
Rems-Murr-Kreis,Landkreis,Rems-Murr-Kreis (Landkreis),2017,2101
Heilbronn,kreisfreie Stadt,Heilbronn (kreisfreie Stadt),2017,966
Heilbronn,Landkreis,Heilbronn (Landkreis),2017,3959
Hohenlohekreis,Landkreis,Hohenlohekreis (Landkreis),2017,1227
Schwäbisch Hall,Landkreis,Schwäbisch Hall (Landkreis),2017,1855
Main-Tauber-Kreis,Landkreis,Main-Tauber-Kreis (Landkreis),2017,1082
Heidenheim,Landkreis,Heidenheim (Landkreis),2017,1458
Ostalbkreis,Landkreis,Ostalbkreis (Landkreis),2017,4520
Baden-Baden,kreisfreie Stadt,Baden-Baden (kreisfreie Stadt),2017,125
Karlsruhe,kreisfreie Stadt,Karlsruhe (kreisfreie Stadt),2017,4973
Karlsruhe,Landkreis,Karlsruhe (Landkreis),2017,2727
Rastatt,Landkreis,Rastatt (Landkreis),2017,4293
Heidelberg,kreisfreie Stadt,Heidelberg (kreisfreie Stadt),2017,446
Mannheim,kreisfreie Stadt,Mannheim (kreisfreie Stadt),2017,5087
Neckar-Odenwald-Kreis,Landkreis,Neckar-Odenwald-Kreis (Landkreis),2017,883
Rhein-Neckar-Kreis,Landkreis,Rhein-Neckar-Kreis (Landkreis),2017,3029
Pforzheim,kreisfreie Stadt,Pforzheim (kreisfreie Stadt),2017,729
Calw,Landkreis,Calw (Landkreis),2017,658
Enzkreis,Landkreis,Enzkreis (Landkreis),2017,1718
Freudenstadt,Landkreis,Freudenstadt (Landkreis),2017,1408
Freiburg im Breisgau,kreisfreie Stadt,Freiburg im Breisgau (kreisfreie Stadt),2017,971
Breisgau-Hochschwarzwald,Landkreis,Breisgau-Hochschwarzwald (Landkreis),2017,1697
Emmendingen,Landkreis,Emmendingen (Landkreis),2017,829
Ortenaukreis,Landkreis,Ortenaukreis (Landkreis),2017,9015
Rottweil,Landkreis,Rottweil (Landkreis),2017,1843
Schwarzwald-Baar-Kreis,Landkreis,Schwarzwald-Baar-Kreis (Landkreis),2017,1817
Tuttlingen,Landkreis,Tuttlingen (Landkreis),2017,2088
Konstanz,Landkreis,Konstanz (Landkreis),2017,2158
Lörrach,Landkreis,Lörrach (Landkreis),2017,2378
Waldshut,Landkreis,Waldshut (Landkreis),2017,1502
Reutlingen,Landkreis,Reutlingen (Landkreis),2017,2280
Tübingen,Landkreis,Tübingen (Landkreis),2017,741
Zollernalbkreis,Landkreis,Zollernalbkreis (Landkreis),2017,1516
Ulm,kreisfreie Stadt,Ulm (kreisfreie Stadt),2017,1130
Alb-Donau-Kreis,Landkreis,Alb-Donau-Kreis (Landkreis),2017,3501
Biberach,Landkreis,Biberach (Landkreis),2017,2291
Bodenseekreis,Landkreis,Bodenseekreis (Landkreis),2017,1750
Ravensburg,Landkreis,Ravensburg (Landkreis),2017,2272
Sigmaringen,Landkreis,Sigmaringen (Landkreis),2017,1093
Stuttgart,kreisfreie Stadt,Stuttgart (kreisfreie Stadt),2016,4077
Böblingen,Landkreis,Böblingen (Landkreis),2016,3120
Esslingen,Landkreis,Esslingen (Landkreis),2016,4136
Göppingen,Landkreis,Göppingen (Landkreis),2016,1609
Ludwigsburg,Landkreis,Ludwigsburg (Landkreis),2016,2885
Rems-Murr-Kreis,Landkreis,Rems-Murr-Kreis (Landkreis),2016,2014
Heilbronn,kreisfreie Stadt,Heilbronn (kreisfreie Stadt),2016,971
Heilbronn,Landkreis,Heilbronn (Landkreis),2016,3949
Hohenlohekreis,Landkreis,Hohenlohekreis (Landkreis),2016,1207
Schwäbisch Hall,Landkreis,Schwäbisch Hall (Landkreis),2016,1787
Main-Tauber-Kreis,Landkreis,Main-Tauber-Kreis (Landkreis),2016,1072
Heidenheim,Landkreis,Heidenheim (Landkreis),2016,1409
Ostalbkreis,Landkreis,Ostalbkreis (Landkreis),2016,4474
Baden-Baden,kreisfreie Stadt,Baden-Baden (kreisfreie Stadt),2016,119
Karlsruhe,kreisfreie Stadt,Karlsruhe (kreisfreie Stadt),2016,4858
Karlsruhe,Landkreis,Karlsruhe (Landkreis),2016,2806
Rastatt,Landkreis,Rastatt (Landkreis),2016,4076
Heidelberg,kreisfreie Stadt,Heidelberg (kreisfreie Stadt),2016,451
Mannheim,kreisfreie Stadt,Mannheim (kreisfreie Stadt),2016,4997
Neckar-Odenwald-Kreis,Landkreis,Neckar-Odenwald-Kreis (Landkreis),2016,855
Rhein-Neckar-Kreis,Landkreis,Rhein-Neckar-Kreis (Landkreis),2016,2993
Pforzheim,kreisfreie Stadt,Pforzheim (kreisfreie Stadt),2016,713
Calw,Landkreis,Calw (Landkreis),2016,660
Enzkreis,Landkreis,Enzkreis (Landkreis),2016,1661
Freudenstadt,Landkreis,Freudenstadt (Landkreis),2016,1366
Freiburg im Breisgau,kreisfreie Stadt,Freiburg im Breisgau (kreisfreie Stadt),2016,953
Breisgau-Hochschwarzwald,Landkreis,Breisgau-Hochschwarzwald (Landkreis),2016,1619
Emmendingen,Landkreis,Emmendingen (Landkreis),2016,805
Ortenaukreis,Landkreis,Ortenaukreis (Landkreis),2016,9236
Rottweil,Landkreis,Rottweil (Landkreis),2016,1782
Schwarzwald-Baar-Kreis,Landkreis,Schwarzwald-Baar-Kreis (Landkreis),2016,1792
Tuttlingen,Landkreis,Tuttlingen (Landkreis),2016,2008
Konstanz,Landkreis,Konstanz (Landkreis),2016,2090
Lörrach,Landkreis,Lörrach (Landkreis),2016,2348
Waldshut,Landkreis,Waldshut (Landkreis),2016,1497
Reutlingen,Landkreis,Reutlingen (Landkreis),2016,2381
Tübingen,Landkreis,Tübingen (Landkreis),2016,718
Zollernalbkreis,Landkreis,Zollernalbkreis (Landkreis),2016,1473
Ulm,kreisfreie Stadt,Ulm (kreisfreie Stadt),2016,1057
Alb-Donau-Kreis,Landkreis,Alb-Donau-Kreis (Landkreis),2016,3419
Biberach,Landkreis,Biberach (Landkreis),2016,2231
Bodenseekreis,Landkreis,Bodenseekreis (Landkreis),2016,1787
Ravensburg,Landkreis,Ravensburg (Landkreis),2016,2209
Sigmaringen,Landkreis,Sigmaringen (Landkreis),2016,1079
Stuttgart,kreisfreie Stadt,Stuttgart (kreisfreie Stadt),2015,4282
Böblingen,Landkreis,Böblingen (Landkreis),2015,3112
Esslingen,Landkreis,Esslingen (Landkreis),2015,4256
Göppingen,Landkreis,Göppingen (Landkreis),2015,1629
Ludwigsburg,Landkreis,Ludwigsburg (Landkreis),2015,3012
Rems-Murr-Kreis,Landkreis,Rems-Murr-Kreis (Landkreis),2015,1976
Heilbronn,kreisfreie Stadt,Heilbronn (kreisfreie Stadt),2015,959
Heilbronn,Landkreis,Heilbronn (Landkreis),2015,3896
Hohenlohekreis,Landkreis,Hohenlohekreis (Landkreis),2015,1158
Schwäbisch Hall,Landkreis,Schwäbisch Hall (Landkreis),2015,1721
Main-Tauber-Kreis,Landkreis,Main-Tauber-Kreis (Landkreis),2015,1055
Heidenheim,Landkreis,Heidenheim (Landkreis),2015,1442
Ostalbkreis,Landkreis,Ostalbkreis (Landkreis),2015,4294
Baden-Baden,kreisfreie Stadt,Baden-Baden (kreisfreie Stadt),2015,124
Karlsruhe,kreisfreie Stadt,Karlsruhe (kreisfreie Stadt),2015,4728
Karlsruhe,Landkreis,Karlsruhe (Landkreis),2015,2797
Rastatt,Landkreis,Rastatt (Landkreis),2015,4236
Heidelberg,kreisfreie Stadt,Heidelberg (kreisfreie Stadt),2015,445
Mannheim,kreisfreie Stadt,Mannheim (kreisfreie Stadt),2015,5039
Neckar-Odenwald-Kreis,Landkreis,Neckar-Odenwald-Kreis (Landkreis),2015,863
Rhein-Neckar-Kreis,Landkreis,Rhein-Neckar-Kreis (Landkreis),2015,3002
Pforzheim,kreisfreie Stadt,Pforzheim (kreisfreie Stadt),2015,709
Calw,Landkreis,Calw (Landkreis),2015,658
Enzkreis,Landkreis,Enzkreis (Landkreis),2015,1624
Freudenstadt,Landkreis,Freudenstadt (Landkreis),2015,1355
Freiburg im Breisgau,kreisfreie Stadt,Freiburg im Breisgau (kreisfreie Stadt),2015,945
Breisgau-Hochschwarzwald,Landkreis,Breisgau-Hochschwarzwald (Landkreis),2015,1555
Emmendingen,Landkreis,Emmendingen (Landkreis),2015,800
Ortenaukreis,Landkreis,Ortenaukreis (Landkreis),2015,8974
Rottweil,Landkreis,Rottweil (Landkreis),2015,1739
Schwarzwald-Baar-Kreis,Landkreis,Schwarzwald-Baar-Kreis (Landkreis),2015,1775
Tuttlingen,Landkreis,Tuttlingen (Landkreis),2015,1964
Konstanz,Landkreis,Konstanz (Landkreis),2015,2048
Lörrach,Landkreis,Lörrach (Landkreis),2015,2368
Waldshut,Landkreis,Waldshut (Landkreis),2015,1523
Reutlingen,Landkreis,Reutlingen (Landkreis),2015,2436
Tübingen,Landkreis,Tübingen (Landkreis),2015,710
Zollernalbkreis,Landkreis,Zollernalbkreis (Landkreis),2015,1519
Ulm,kreisfreie Stadt,Ulm (kreisfreie Stadt),2015,1062
Alb-Donau-Kreis,Landkreis,Alb-Donau-Kreis (Landkreis),2015,3373
Biberach,Landkreis,Biberach (Landkreis),2015,2117
Bodenseekreis,Landkreis,Bodenseekreis (Landkreis),2015,1795
Ravensburg,Landkreis,Ravensburg (Landkreis),2015,2575
Sigmaringen,Landkreis,Sigmaringen (Landkreis),2015,1049
Stuttgart,kreisfreie Stadt,Stuttgart (kreisfreie Stadt),2014,4258
Böblingen,Landkreis,Böblingen (Landkreis),2014,3093
Esslingen,Landkreis,Esslingen (Landkreis),2014,4510
Göppingen,Landkreis,Göppingen (Landkreis),2014,1801
Ludwigsburg,Landkreis,Ludwigsburg (Landkreis),2014,2968
Rems-Murr-Kreis,Landkreis,Rems-Murr-Kreis (Landkreis),2014,1954
Heilbronn,kreisfreie Stadt,Heilbronn (kreisfreie Stadt),2014,928
Heilbronn,Landkreis,Heilbronn (Landkreis),2014,3863
Hohenlohekreis,Landkreis,Hohenlohekreis (Landkreis),2014,1212
Schwäbisch Hall,Landkreis,Schwäbisch Hall (Landkreis),2014,1771
Main-Tauber-Kreis,Landkreis,Main-Tauber-Kreis (Landkreis),2014,1044
Heidenheim,Landkreis,Heidenheim (Landkreis),2014,1489
Ostalbkreis,Landkreis,Ostalbkreis (Landkreis),2014,4417
Baden-Baden,kreisfreie Stadt,Baden-Baden (kreisfreie Stadt),2014,129
Karlsruhe,kreisfreie Stadt,Karlsruhe (kreisfreie Stadt),2014,5197
Karlsruhe,Landkreis,Karlsruhe (Landkreis),2014,2941
Rastatt,Landkreis,Rastatt (Landkreis),2014,4157
Heidelberg,kreisfreie Stadt,Heidelberg (kreisfreie Stadt),2014,452
Mannheim,kreisfreie Stadt,Mannheim (kreisfreie Stadt),2014,5323
Neckar-Odenwald-Kreis,Landkreis,Neckar-Odenwald-Kreis (Landkreis),2014,846
Rhein-Neckar-Kreis,Landkreis,Rhein-Neckar-Kreis (Landkreis),2014,3063
Pforzheim,kreisfreie Stadt,Pforzheim (kreisfreie Stadt),2014,719
Calw,Landkreis,Calw (Landkreis),2014,658
Enzkreis,Landkreis,Enzkreis (Landkreis),2014,1590
